Date,Open,High,Low,Close,Volume,Ticker
2020-01-01,101.07963216558664,100.97485034116484,100.64671993528968,100.79824031407574,5983926,AAPL
2020-01-02,100.67795805549488,103.64406832208186,100.31092612299965,100.63971225188821,5334165,AAPL
2020-01-03,101.94693370170779,102.0466786932985,100.61302835082228,101.673048879936,2278343,AAPL
2020-01-06,103.59548145658523,104.40087970969974,102.85457772410552,104.07457502125035,4032115,AAPL
2020-01-07,103.84940852652278,104.71801828477409,103.27970548971453,103.76154282454269,1690778,AAPL
2020-01-08,102.71823750113977,103.94881573018188,102.87993453482291,103.4494776322697,5044064,AAPL
2020-01-09,105.92330155111851,106.42746704493308,105.64695784728985,105.98224148758636,9566765,AAPL
2020-01-10,106.77814659386529,107.91385118341779,106.31338184527485,107.26292548381875,7634699,AAPL
2020-01-13,106.17158620979457,108.75501397961341,106.37054261928958,106.56348939598253,3350959,AAPL
2020-01-14,108.15234098311358,108.70358450518698,106.08714728256982,107.48801497447921,6959322,AAPL
2020-01-15,107.37955543920614,107.30263718805486,106.17080682858922,106.7968132236154,7036207,AAPL
2020-01-16,106.42954350984883,107.08932576432306,105.66877895848285,106.10637631642055,4343867,AAPL
2020-01-17,105.9635367947201,107.13731492545539,106.27140774513,106.54544152369012,7362473,AAPL
2020-01-20,103.41903917929405,104.53451396005124,103.3336237265791,103.58291172185798,3642800,AAPL
2020-01-21,101.60022720730811,101.4091766435037,100.9797295335456,100.98768754984346,9181311,AAPL
2020-01-22,100.26058279600991,100.48523937384493,99.86336162050478,100.18958999864263,2658332,AAPL
2020-01-23,99.87323643099842,99.6917263412674,98.56607351259628,98.72831889872568,5451441,AAPL
2020-01-24,99.43957688348954,100.15591854898226,99.03391312690536,99.24440391089846,6018768,AAPL
2020-01-27,98.04484322280534,99.17097637956569,96.97778375471384,97.95078641285487,1771279,AAPL
2020-01-28,95.79723665180187,95.9982351872728,94.97083805612601,95.94552836422181,9076818,AAPL
2020-01-29,98.19279390036114,98.8235652431116,96.76473492099701,98.12727387567526,5074999,AAPL
2020-01-30,97.7698321433947,99.07580063764082,96.27864771900545,97.84442375980173,1663431,AAPL
2020-01-31,98.33951381642731,98.20522746040892,96.79972032580751,97.99256688212621,9966309,AAPL
2020-02-03,96.42760425382994,96.26458406328025,95.81550380645324,95.96853764232095,2588404,AAPL
2020-02-04,94.86140903288351,97.5467801907462,94.38542797408404,95.23568023753856,9641123,AAPL
2020-02-05,94.80670048755277,95.85520344036289,94.95177421495708,95.44197801901099,4892825,AAPL
2020-02-06,92.99355288503867,95.1482065850189,93.82265969599725,93.85524036832982,6353374,AAPL
2020-02-07,94.6727119278679,94.96618879259724,92.57394180691166,94.43285656730905,3871083,AAPL
2020-02-10,93.11612611751784,94.58903056320213,93.01941078440241,93.63268199029076,9998331,AAPL
2020-02-11,92.26651340576039,95.21842095046225,92.51428341714433,93.27051952619911,5738379,AAPL
2020-02-12,92.65838881694023,93.94540952029803,91.55960116512453,92.47871257154088,9671734,AAPL
2020-02-13,96.31755581426,96.92014367611186,94.73200339663902,95.13173891818215,7542224,AAPL
2020-02-14,95.15716024102413,96.94046015579762,94.34500464167817,95.16004878221558,3644046,AAPL
2020-02-17,94.10189872813969,94.07413160941452,93.6175019903938,93.7090279510408,7403679,AAPL
2020-02-18,94.95867252821395,95.74401842200152,93.71957656266174,94.91983638159122,6814104,AAPL
2020-02-19,93.19792733226708,93.7425413964884,91.57206693334889,93.24403168204299,4763302,AAPL
2020-02-20,94.01345053889335,96.05002135674667,93.22514569452743,93.5833990326485,1926097,AAPL
2020-02-21,90.78603989616522,90.92106473805114,90.80550391693359,90.91799579510507,2983438,AAPL
2020-02-24,89.28836899939697,89.46146863227398,88.81454565270009,89.16915326821587,6193951,AAPL
