Date,GDP_Growth,Unemployment,Inflation,Interest_Rate,VIX
2020-01-31,1.7999318299806233,10.154681920754644,1.3426753514392065,4.665421099995767,22.125788004527024
2020-02-29,-0.17248310365209774,10.259823898912675,2.474975235014833,4.86253032367521,16.754262726784297
2020-03-31,2.1741039912279927,9.723439077315092,2.591728787834684,4.999928500095142,10.485210834631573
2020-04-30,3.7286667474227126,9.86941671712557,0.0,4.7433174574402885,16.200350967747852
2020-05-31,2.1925281700142696,9.54539962870951,1.821355617764405,4.9521260341841495,27.04097802806546
2020-06-30,0.7247782627903816,10.214601379298799,1.0541671007080167,4.5318365819975295,16.898054358089432
2020-07-31,2.2103928899892358,9.393995308821115,0.0,4.295019865194941,20.885973684063092
2020-08-31,2.3143110482649676,9.498564102269231,2.3198588793804626,4.756392549017591,20.304700499981102
2020-09-30,2.16392103665323,9.53661993694169,3.522246316111609,4.5310717436118555,20.9183204656407
2020-10-31,1.7808885636634249,8.892491492795621,2.0658098135244427,4.635316469266724,13.323513525455516
2020-11-30,1.8283046422191196,9.194849574974304,0.0,4.254707770815305,24.090115714952866
2020-12-31,3.2277334985919346,9.140067043839904,1.3146078607046485,4.5723322959293835,19.503218533363324
2021-01-31,1.920121065178377,8.908620456352175,0.6596290792801671,3.9711034184341205,31.551413972731684
2021-02-28,2.6614137027544373,8.906927687155246,4.669614531627135,4.061192755146119,18.13527177045063
2021-03-31,2.6578450733039087,8.381834040083632,1.491280046103669,4.132380944675988,24.88561154248252
2021-04-30,1.8837288334754425,9.11876411238283,0.0,3.889214474416371,18.06049043243421
2021-05-31,1.747606860960499,7.653352269999736,1.9312786356341052,3.960763001454475,29.59608198058513
2021-06-30,2.5699510441475013,8.018823879008403,2.9532434925105138,4.096999779779961,23.653571540498227
2021-07-31,0.8477035498914596,7.768178217604193,2.1483895040558547,3.8549999027060022,13.573574443785628
2021-08-31,4.4938667847667855,8.584666396755075,0.7960201669041327,3.6761934721817866,27.035289487735582
2021-09-30,1.9272920042143045,7.9268131000282365,1.3120129909602232,3.889328065731038,23.876231273949223
2021-10-31,2.109371475391051,7.581006077676289,3.148320985038241,3.6787618557783373,17.66397501865191
2021-11-30,3.236576270462635,7.581033698278583,2.151726900010573,3.5068769787483633,11.934151462603591
2021-12-31,2.3301968056075992,7.203548887176137,5.037657661771635,3.4247047857312927,25.989895845150173
2022-01-31,2.0824339409858923,7.747545521822564,2.1470951247101526,3.2993489898493675,28.638162120590138
2022-02-28,1.1626771794293773,7.676033025587709,0.0,3.473702645405278,25.595622288816372
2022-03-31,2.6019061510894654,7.446995835039233,1.7004674278211442,3.4134150054981864,24.348256978637817
2022-04-30,1.953162710705413,7.039456418300753,1.1550333127646195,3.422555066944994,22.788105017514077
2022-05-31,4.58133607534918,7.61037366940024,0.0,3.1877415078519324,25.295323735179185
2022-06-30,2.294687612163986,7.285406448379411,2.1957836864054614,2.9250405098253927,18.690172229673106
2022-07-31,0.23306428454585104,6.425758122337397,1.372843295641712,3.032252562916571,10.926763047423131
2022-08-31,3.4501715386017935,6.789316170982085,2.224153797624631,2.78584302323403,23.795435831337866
2022-09-30,1.4999732794397898,6.398711962547585,4.7451560607794026,2.862924244493398,21.96294790003744
2022-10-31,2.606261560670164,7.085639951436623,1.8060464225194273,3.044672858879773,12.982013502096962
2022-11-30,3.9048800806781325,6.407851025565321,3.536804407411553,2.9311660031900484,10.0
2022-12-31,2.19119615172133,6.026903540987597,1.7125918053912468,2.8081836058199503,20.406858236270942
2023-01-31,2.2952804937817755,6.295129582038362,2.623173537115891,2.554792107856819,19.22297342178621
2023-02-28,3.4346560317976222,6.714232377370885,2.1796735351443886,2.6707129026370438,18.799987987681032
2023-03-31,3.925573908166233,6.394936391587576,2.4011405443962124,2.2955798178410363,22.897821472321073
2023-04-30,2.3626770692263976,5.877499554847691,1.8026444868702176,2.0635772596269044,16.274281753458276
2023-05-31,4.5226082211060366,5.879998003134068,4.1755430427335885,2.3425132786293092,23.436281073140407
2023-06-30,0.7614338222766537,6.128995160868463,2.94786763044538,2.1452626918307507,23.47265629911239
2023-07-31,1.5973477102746916,6.147209515420471,2.1734974338241004,2.509378765944106,10.0
2023-08-31,2.022443198344044,5.161896680904863,3.362846760295088,2.4112180715187432,19.65668893129033
2023-09-30,3.5565015853081725,5.5715032291999105,2.1928423934264587,1.8791556899810855,21.000624078343655
2023-10-31,2.7304654871592033,5.317268536490801,3.6750344620656876,2.088087910595055,23.740409503924973
2023-11-30,1.8249669106492155,5.175762088831873,0.23040014773479056,1.4864441156185886,22.744922602162113
